Table: Table_1

,Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult Interaction) Relaxation = 0 (no adult interaction needed) ,
,12/4 ,,11:15 ,11:30 ,15 min ,\ ,
1214 ,,,12:24 ,12:36 ,12 min ,\ ,
12 ,4 ,,12:51 ,1:01 ,10 min ,\ ,
,1214 ,,1:50 ,1:55 ,5 min ,\ ,
,12/6 ,,8:53 ,9:05 ,12 min ,\ ,
12/10 ,,,9:05 ,9:15 ,10 min ,\ ,
12 16 ,,,9:20 ,9:25 ,5 min ,I ,
12/16 ,,,9:30 ,9:25 ,15 min. ,I ,
12/10 ,,,11:14 Class ,2/11/29 ,15 min ,1 ,
12/10 ,,,11:43 ,11:53 ,10 min ,\ ,
2/11 ,,,8:41. ,8:55 ,14 min ,\ ,
12/11 ,,,8:55 ,9:10 ,15 min ,1 ,
,12/11 ,,9:10 ,9:25 ,15 min ,( ,
12/11 ,,,9:48 ,10:00 ,12 min ,1 ,
12/11 ,,,10:10 ,10:15 ,5 min ,1. ,
12/12 ,,,150 ,1:55 ,5min ,/ ,
12/12 ,,,2:00 ,2:10 ,10min ,/ ,
12/13 ,,,1.15 ,1:20 ,5mm ,I ,
12/1B ,,,1-1-25 ,:40 ,15 ,\ ,
12/13 ,,,himo ,1:45 ,(15 ,I ,
12/13 ,,,1:45 ,2:00 ,15 ,/ ,
12/17 ,,,8:55 ,9:00 ,5 ,/ ,





