Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult Interaction) Reloxation = 0 (no adult interaction needed) ,
9/6 ,,11:25 ,11:45 ,20 ,1 ,
alle ,,11:46 ,12:05 ,20 ,,
9110 ,,8:10 ,8:25 ,15 ,/ ,
9/10 ,,8:25 ,8:40 ,15 ,) ,
9/10 ,,8:42 ,9:02 ,20 ,I ,
9/10 ,,9:03 . ,9:10 ,7 ,1 ,
9/10 ,,9:12 ,9:22 ,10 ,/ ,
9lio ,,9:22 ,9:34 ,12 ,1 ,
9/10 ,,9:35 ,9:43. ,8 ,1 ,
9/10 ,,9.51 ,10:05 ,15 ,1 ,
alio ,,10.05 ,10:07 ,2 ,I ,
9/10 ,,10:08 ,10:25 ,17 ,1 ,
9/10 ,,10:12 ,11:27 ,15 ,I ,
9/10 ,,11:28 ,11:38 ,10 ,\ ,
9/11 ,,12:35 ,12:50 ,15 ,/ ,
9/11 ,,2:50 ,105 ,15 ,/ ,
911, ,,105 ,107 ,2 ,) ,
9/12 ,,8:10 ,8:25 ,15 ,/ ,
9/12 ,,1:57 ,2:10 ,13 ,1 ,
9/13 ,,8:00 ,8:15 ,15 ,1 ,
9/13 ,,8:16 ,8:31 ,15 ,1 ,
9/13 ,,831 ,8:41 ,10 ,1 ,





