Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult Interaction) Relaxation = 0 (no adult interaction needed) ,
9/12 ,,9:25 ,9:30 ,5 min ,\ ,
9/14 ,,1:55 ,2:00 ,5 min ,1 ,
9/17 ,,12:40 ,12:55 ,15 min ,\ ,
9/18 ,,1:20 ,1:35 ,15 min ,\ ,
9/19 ,,7:50 ,8:00 ,10 min ,1 ,
9/27 ,,11:05 ,11:20 ,15 min ,\ ,
9/27 ,,11:20 ,11:25 ,5 min ,\ ,
9/28 ,,8:35 ,8:50 ,15 min ,1 ,
9/28 ,,9:35 ,9:50 ,15 min ,1 ,
9/28 ,,1:35 ,1:45 ,10 min ,1 ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





