Table: Table_1

Date ,Student ,Staff ,Time In ,Time out ,Total time ,Door open/closed ,
11-1-18 ,,,V10 ,1:30 ,20mms ,open ,
11/2 ,,,9:30 ,9143 ,1 Smin ,Closed ,
11/2 ,,,9:47 ,9:55 ,Trins. ,open ,
11/2 ,,,9:58 ,10:03 ,Smins. ,Open, ,
11/2 ,,,11:45 ,12105 ,Zoming ,Closull ,
11/2 ,,,12:50 ,vils ,25mns ,Closel ,
11/8 ,,,8:10 ,8:20 ,IC Min ,closed ,
11 8 ,,,8:30 ,8:35 ,5 min ,Closed ,
11-14 ,,,10:30 ,10:40 ,10mins ,Closell ,
1614 ,,,1:45 ,2pm ,15mins ,closel ,
11/19 ,,,10:58 ,1.1.18 ,20mir ,closed ,
11/19 ,,,11:39 ,11:45 ,6 min. ,closed ,
,,,8-10 ,8:20 ,10mins ,Closed ,
11/2.6 ,,,11:16 ,11:30 ,15 ming ,closed ,
1/20 11/2006 ,,,12:11 ,12:20 ,9 min ,Closed ,
11/29 ,,,10'50 ,Ilan ,10mini. ,Open ,
1/29 ,,,12:30 ,12:50 ,20mms ,Closed 10pm ,
11/19 ,,,1:20 ,1:45 ,15mins ,closed ,
1/30 ,,,11:30 ,11:43 ,13min ,Closed ,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,





