Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 freeds adult interaction) Relaxation = 0 (no adult interaction needed) ,
3/4/19 ,,1:00 ,1:155 ,15 ,,
3/5/19 ,,1:15 ,1:20 ,S ,0 ,
3/10/19 ,,108 ,I'll ,to ,0 ,
3/7/9 ,,9:40 ,9:50 ,10 ,0 ,
3/15/19 ,,11:00 ,11:10 ,10 ,0 ,
3/18 ,,10.35 ,10'us ,10 ,D ,
3/18 ,,lill ,1:75 ,15 ,I kicking ,
3/19 ,,9:15 ,9:30 ,15 ,0 ,
3/25 ,,11:10 ,11:30 ,20 ,I ,
312b ,,10:15 ,10:30 ,15 ,0 ,
3/29 ,,8:12 ,8:32 ,120 ,F ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





