Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult interaction) Relaxation = 0 (no adult interaction needed) ,
21 ,,11:15 ,11:30 ,IS ,0 ,
2/5 ,,10:55 ,11:05 ,10 ,I Throungthings ,
215 ( ,,11:10 ,11.15 ,S ,I Throwing ,
2/6 ,,10:40 ,11:00 ,20 ,1 kicking peers ,
216 ,,11:15 ,11:30 ,10 ,I ,
216 ,,12:45 ,1:00 ,IS ,I ,
2/7 ,,11:05 ,lli 15 ,10 ,/ ,
2/7 ,,11:33 ,11:45 ,IS ,I ,
217 ,,1:15 ,1:30 ,15 ,1 ,
218 ,,0:21 ,10:31 ,10 ,1 ,
218 ,,11:06 ,11:26 ,20 ,I ,
,,0:20 ,10:40 ,20 ,1 ,
2/11 ,,1100 ,liis ,15 ,/ ,
2/13 ,,10.17 ,10:27 ,10 ,1 ,
2113 ,,11:00 ,11.20 ,90 ,I ,
2/14 ,,0:55 ,10:45 ,10 ,I ,
2/14 ,,1:15 ,11:25 ,10 ,I ,
2114 ,,2:35 ,12:45 ,10 ,I ,
2/26 ,,2:50 ,1:00 ,10 ,I Threw Penal at no ,
,,,,,eye ,
,,,,,,
,,,,,,





