Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total TIme ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation / with door open will be recorded separately, per student plans). ,
2/10/2020 ,,11:08 ,11:12 ,4 mins ,Closed ,
2/10 ,,11:27 ,11:39 ,12mins ,kicking door closed ,
2/10 ,,11:54 ,12:01 ,7mins ,closed on door running 4jumping ,
2/12 ,,9:00 ,9:06 ,6mins. ,closed ,
2/12 ,,9:13 ,9:28 ,15mins. ,closed ,
2/12 ,,9:28 ,9:40 ,12 mins ,closed ,
2/12 ,,11:37 ,11:52 ,15 minis ,closed ,
2/12 ,,11:52 ,12:07 ,15mins ,closed ,
2112 ,,12:07 ,12:12 ,5mins ,closed ,
2/12 ,,12:18 ,12:26 ,8mins ,closed ,
2/6 ,,12:22 ,12:37 ,15mins ,closed ,
2/6 ,,12:37 ,12:52 ,15mins ,closed ,
2/6 ,,12:54 ,1:03 ,amins ,closed ,
2/10 ,,10:39 ,10:54 ,15mins ,closed ,
2/10 ,,10:54 ,11:09 ,15mins ,closed ,
2/11 ,,11:22022 ,11:32 ,10mins ,closed ,
2/12 ,,9:13 ,9:28 ,15mins ,closed ,
2/12 ,,9.28 ,9:40 ,12mins ,closed ,
2/12 ,,11:37 ,11:52 ,15mins ,closed ,
2/12 ,,11:52 ,12:07 ,15mins ,closed ,
2/12 ,,12:07 ,12:12 ,5mins ,closed ,
2/12 ,,12:18 ,12:26 ,Bmins ,closed ,





