Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation / with door open will be recorded separately, per student plans). ,
2/11 ,,11:11 ,11:26 ,15mins ,closed ,
2/11 ,,11:26 ,11.33 ,7mins ,closed ,
2/12 ,,8:31 ,8:33 ,2mins ,closed ,
2/12 ,,8:35 ,8:40 ,5mins ,closed ,
2/12 ,,8:48 ,8:55 ,7mins ,closed ,
2/4 ,,9:26 ,9:29 ,3mins ,closed ,
2/4 ,,9:35 ,9:50 ,15mins ,closed ,
2/4 ,,9:51 ,10:03 ,llmins ,closed ,
2/4 ,,10:13 ,10:28 ,15mins ,closed ,
2/5 ,,9:36 ,9:51 ,15mins ,closed ,
2/5 ,,9:51 ,10:04 ,13 mins ,closed ,
2/5 ,,10:23 ,10:34 ,llmins ,closed ,
2/5 ,,10:50 ,11:05 ,15mins. ,closed ,
2/5 ,,11:10 ,11:16 ,lemins. ,closed ,
2/5 ,,11:21 ,11:30 ,9mins ,closed ,
2/5 ,,11:36 ,11.51 ,15mins ,closed ,
2/5 ,,11:52 ,12:02 ,10mins. ,closed ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





