Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation / with door apen will be recorded separately, per student plans). ,
10/1 ,,16's ,1022 ,7 ,X ,
10/7 ,,1025 ,1040 ,15 ,X ,
10/7 ,,10th ,1051 ,10 ,X ,
10/7 ,,10st ,1100 ,9 ,X ,
10/10 ,,10 6 ,1052 ,1 ,X ,
10/10 ,,1054 ,1055 ,/ ,,
11/44 ,,1117 ,,,closed ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





