Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Please Check to Confirm: Room was used for De-escalation, with the door closed. (Break Room Use for relaxation / with door opan will be recorded separately, per student plans). ,
9/16/19 ,,10=00 ,10:15 ,15 mins ,X ,
9/16/19 ,,10:26 ,10:33 ,8 mins. ,,
9/16/19 ,,10:34 ,10 - 36 ,3 mins. ,,
9/16/19 ,,10:40 ,10:44 ,4 mins ,,
,,,,,,
9/17/19 ,,1:45 ,1:55 ,10 mins ,,
9/19/19 ,,9:15 ,9:25 ,10 mins ,,
9/20/19 ,,11:00 ,11:15 ,15mins ,X ,
9/20/19 ,,11:15 ,11:25 ,iomins ,,
9/20/19 ,,11:29 ,11:34 ,5mins ,X ,
9/20/19 ,,12:04 ,12:14 ,10mins ,X ,
9/20/19 ,,11:34 ,11:49 ,15mins ,X ,
01/20/19 ,,11:49 ,12:04 ,/ Smins ,X ,
9/23/19 ,,1:22 ,1:32 ,10 omins ,,
9/23/19 ,,2:10 ,2:20 ,10 mins ,,
9/23/19 ,,2:22 ,2:27 ,5/mins ,X ,
9/24/19 ,,8:42 ,8:48 ,6mins ,X ,
9/24/19 ,,8:50 ,8:58 ,8mins ,X ,
9/24/19 ,,9:02 ,9:13 ,llmins ,,
9/24/19 ,,11:30 ,11:45 ,is mins ,X ,
9/27/19 ,,10.39 ,10:48 ,amins ,,
9/27/19 ,,10:48 ,10.53 ,5mins. ,X ,





