Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation =.1 (needs adult interaction) Relaxation = 0 (no adult interaction needed) ,
6/11/21 ,,11:04 ,11:21 ,17 ,/ ,
6/11/21 ,,11:38 ,11:53 ,15 ,I ,
6/11/21 ,,12:11 ,12:21 ,10 ,sick bus ,
6/14/21 ,,1:24 ,1:35 ,11 ,I ,
6/14/21 ,,1:35 ,1:39 ,4 ,( ,
6/15/21 ,,12:57 ,1:03 ,6 ,1 ,
6/15/21 ,,1:03 ,1:07 ,4 ,I ,
6/15/21 ,,1:20 ,1 : 35 ,15 ,I ,
6/15/21 ,,1:35 ,1:36 ,1 ,1 ,
17/21 ,,1:03 ,1:16 ,13 ,I ,
6/17/21 ,,1:17 ,1:23 ,6 ,I ,
6/17/21 ,,1:23 ,1:27 ,4 ,I ,
6/17/21 ,,1:31 ,1:44 ,13 ,/ ,
6/17/21 ,,1:45 ,1:50 ,5 ,/ ,
6/18/21 ,,9:20 ,9:32 ,12 ,/ ,
6/18/21 ,,9:32 ,9:39 ,7 ,/ ,
6/18/21 ,,9:39 ,9:40 ,/ ,I ,
6/22/21 ,,9:06 ,9:15 ,9 ,I ,
6/22/21 ,,11:27 ,11:42 ,15 ,/ ,
6/22/2) ,,es,T 11:42 ,11:50 ,8 ,/ ,
6/22/21 ,,11:51 ,12:04 ,13 ,/ ,
,,,,,,





