Table: Table_1

ate ,,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation =1 (needs adult interaction) Relaxation = 0 (no adult Interaction needed) ,
5/12/21 ,,,8:40 ,8:55 ,15 ,,
5/12/21 ,,,8:55 ,9: 10 ,15 ,1 ,
5/12/21 ,,,8:10 ,9:18 ,8 ,/ ,
5/12/21 ,,,10:07 ,10:14 ,7 ,1 ,
5/12/21 ,,,10:35 ,10:42 ,7 ,/ ,
5/12/21 ,,,10:44 ,10:59 ,15 ,/ ,
5/14/21 ,,,12:02 ,12:12 ,10 ,/ ,
5/14/21 ,,,1:31 ,1:46 ,15 ,/ ,
5/14/11 ,,,1:47 ,1:48 ,2 ,I ,
5/17/21 ,,,12:17 ,12.32 ,15 ,/ ,
5/17/21 ,,,12:32 ,12:40 ,8 ,/ ,
5/17/11 ,,,12:40. ,12:55 ,15 ,1 ,
5/17/21 ,,,12:55 ,1:02 ,7 ,/ ,
5/17/21 ,,,1:02 ,1:17 ,15 ,/ ,
5/18/21 ,,,1:19 ,1:22 ,3 ,/ ,
5/18/21 ,,,22 ,1:40 ,18 ,/ ,
5/19/21 ,,,11:15 ,11:22 ,7 ,I ,
5/20/21 ,,,9:25 ,9:40 ,15 ,/ ,
5/20/21 ,,,9:40 ,10:05 ,15 ,/ ,
5/20/21 ,,,10:05 ,10:20 ,15 ,/ ,
,,,10:20 ,10:35 ,15 ,/ ,
5 /21/21 ,,,8:09 ,8:24 ,15 ,,





