Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation =.1 (needs adult interaction) Relaxation = 0 (no adult Interaction needed) ,
1-22-21 ,,12 : 02 ,12:17 ,15 ,/ ,
1-22-21 ,,12:17 ,12:19 ,2 ,0 ,
4-232 ,,1:05 ,1:19 ,14 ,/ ,
4/23/21 ,,1:22 ,1:24 ,2 ,/ ,
4/23/2 ,,1:27 ,1 : 42 ,15 ,/ ,
4/23/21 ,,1:42 ,1:45 ,3 ,i ,
4/26/21 ,,9:31 ,9: 35 ,4 ,1 ,
4/26/2 ,,9:35 ,9:45 ,10 ,1 ,
4/26/21 ,,9:45 ,10:00 ,15 ,I ,
4/16/21 ,,10:00 ,10:05 ,5 ,I ,
4/26/2 ,,10:05 ,10:20 ,15 ,/ ,
4/26/21 ,,10:20 ,10:40 ,20 ,,
1/26/01 ,,10:40 ,10:55 ,15 ,,
7/26/20 ,,10:55 ,11 : 10 ,15 ,,
1/26/21 ,,11:10 ,11:25 ,15 ,1 ,
1/26/21 ,,11:25 ,11:40 ,15 ,/ ,
1/29/21 ,,1:25 ,1: 40 ,15 ,/ ,
4/29/2 ,,1:40 ,1:50 ,10 ,/ ,
1/1/29/12 ,,1:50 ,1:55 ,5 ,/ ,
,,,,,,
,,,,,,
,,,,,,





