Table: Table_1

Date ,Staff ,Time IN ,Time OUT ,Total Time ,Purpose De-escalation = 1 (needs adult Interaction) Relaxation = 0 (no adult Interaction needed) ,
9-22 ,,9:30 ,9:45 ,15 ,I ,
9-22 ,,0:45 ,9:50 ,5 ,O ,
9-22 ,,0'00 ,10:15 ,15 ,I ,
9-22 ,,11:33 ,11:48 ,15 ,/ ,
9-22 ,,9:20 ,9:35 ,15 ,/ ,
9-22 ,,9:35 ,9:50 ,15 ,/ ,
9-22 ,,9:50 ,10:05 ,15 ,II ,
9-22 ,,10:05 ,10:20 ,15 ,1 ,
C 2 ,,10:20 ,10:35 ,15 ,I ,
7-22 ,,10.35 ,10.37 ,2 ,0 ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,





